,Progress,Finished,Q25,Q25_4_TEXT,Memberships ,Are You ,Q30,Q30_16_TEXT,Indy,public email,public email at work,Memberships ,Q26,Someoneelse ,Signin2 ,Signin2 _3_TEXT,Q32,Added,Admin ,Access,Instructions,Lost Envelopes,Wrong Inbox,Prefer 
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",2,Not Sure,No,Mortgage,,No,No,,,,,,,,,,,Yes,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",,No,Yes,Construction,,No,No,,,,,,,,No,Yes,,Yes,Yes,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Non-Profit,,No,Yes,No,,,,,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,K-12 Education,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Government,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",,No,Yes,"Insurance (Insurance Agencies, Insurance Carriers, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,Non-Profit,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,country club,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,No,No,No,No opinion
MOPS,100,True,public email (eg. me@gmail.com),,No,No,Government,,No,Yes,Yes,,,,,,,,,,No,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Legal Services,,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Legal Services,,No,No,,2-3,Work,No,Work,,,No,No,No,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",5,No,Yes,Higher Education,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Other (please specify):,Education,No,No,,,,,,,,Yes,Yes,,No,No,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,No,Technology,,No,No,,,,,,,,,,,No,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Technology,,No,No,,2-3,Work,No,Work,,,Yes,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Clinical Research,No,No,,,,,,,,,,,No,Not Sure,Not sure,No opinion
MOPS,100,True,"public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,Yes,,,,,,,No,No,No,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,No,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,,,,,,,,,,Yes,No,No,No opinion
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,"Yes, I own my own business",No,,,,,,,,Yes,No,Not Sure,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Technology,,No,No,,,,,,,,Yes,No,No,No,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,Not Sure,Work,,,,,,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,Not Sure,Yes,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,,,,,,,No,Not Sure,No,Yes,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,Yes,Yes,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,Not Sure,No,"Real Estate (Agents, etc.)",,"Yes, I own my own business",Yes,Yes,,,,,,,,,,No,Yes,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,4-5,Work,No,Work,,,Yes,Yes,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),4,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,4-5,Work,No,Work,,,Yes,Yes,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,25+,I use separate emails for work and personal DocuSign accounts,No,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,1,Work,No,Work,,,Yes,Yes,,Yes,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,,,Yes,Yes,Higher Education,,No,No,,4-5,,Not Sure,Personal,,,Not Sure,Not Sure,Not Sure,No,Not Sure,Not sure,No opinion
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,No,Yes,"Insurance (Insurance Agencies, Insurance Carriers, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,"Yes, I work independently",No,,,,,,,,,,,No,No,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Technology,,No,No,,,,,,,,No,No,Not Sure,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,25+,Work,Yes,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Non-Profit,,No,No,,,,,,,,No,No,Not Sure,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Government,,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,No,Yes,,No,Yes,No,No opinion
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,Yes,Yes,Other (please specify):,Staffing Services,No,No,,25+,Work,Yes,Work,,,Yes,Yes,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Accounting and Tax,,No,No,,,,,,,,No,No,No,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,"Insurance (Insurance Agencies, Insurance Carriers, etc.)",,"Yes, I own my own business",No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,Not Sure,No,Not Sure,Yes,No,No,No opinion
MOPS,100,True,multiple emails (how many different email addresses do you use?),3,No,Yes,Other (please specify):,Corporate Advisory and Investment,"Yes, I own my own business",No,,,,,,,,Yes,Not Sure,No,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",2,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,16-25,I use separate emails for work and personal DocuSign accounts,No,Work,,,Yes,Yes,,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,Other (please specify):,Real estate sales,"Yes, I own my own business",No,,,,,,,,No,No,No,No,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,Construction,,"Yes, I work independently",Yes,Yes,1,Work,No,I do not send DocuSign envelopes,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Government,,No,No,,4-5,Work,No,Work,,,Yes,No,Not Sure,Yes,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,11-15,Work,No,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,4-5,Work,Yes,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,Not Sure,No,"Insurance (Insurance Agencies, Insurance Carriers, etc.)",,"Yes, I own my own business",Yes,Yes,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",2,No,No,Higher Education,,No,No,,,,,,,,,,,No,Not Sure,No,No opinion
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,No,Yes,Higher Education,,No,No,,,,,,,,Yes,Yes,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,4-5,Work,No,Work,,,Yes,Yes,,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",4,Yes,Yes,Technology,,No,No,,6-10,I use separate emails for work and personal DocuSign accounts,No,Work,,,Yes,Yes,,Yes,Not Sure,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Not Sure,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,No,Not Sure,No,No,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Other (please specify):,Entertainment,No,No,,2-3,Personal,Yes,Work,,,Yes,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),,No,Yes,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,No,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",3,No,No,Technology,,No,No,,,,,,,,,,,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,Yes,Yes,Mortgage,,No,No,,16-25,Work,No,Work,,,Yes,Yes,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,Yes,Yes,Other (please specify):,Consultant - support DS implementations,No,No,,4-5,Work,Yes,Work,,,Yes,No,No,No,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Technology,,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,61,False,public email (eg. me@gmail.com),,Not Sure,Yes,Other (please specify):,Special Education ,No,Yes,Yes,,,,,,,,,,,,,
MOPS,91,False,public email (eg. me@gmail.com),,No,No,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,Yes,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,91,False,company email (eg. me@company.com),,Yes,No,Technology,,No,No,,1,Work,No,Work,,,,,,No,No,No,No opinion
MOPS,91,False,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,Yes,Yes,Other (please specify):,Professional Services,No,No,,4-5,Work,Not Sure,Work,,,Not Sure,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,91,False,public email (eg. me@gmail.com),,Not Sure,Yes,Other (please specify):,Hotel,No,Yes,No,,,,,,,No,No,No,Yes,No,No,
MOPS,91,False,company email (eg. me@company.com),,No,Yes,Accounting and Tax,,"Yes, I own my own business",Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,91,False,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,No,Yes,Other (please specify):,Property Management,No,No,,,,,,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,91,False,company email (eg. me@company.com),,Not Sure,Yes,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,No,,,,,,,Yes,Yes,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
MOPS,78,False,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",,Not Sure,No,Legal Services,,No,No,,,,,,,,,,,No,,,
MOPS,61,False,multiple emails (how many different email addresses do you use?),2,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,,,,
MOPS,91,False,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,91,False,company email (eg. me@company.com),,Yes,No,Other (please specify):,Clinical Research,No,No,,2-3,Work,No,Work,,,,,,No,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,91,False,multiple emails (how many different email addresses do you use?),2,No,No,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,,,,,,,,,,No,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,91,False,company email (eg. me@company.com),,No,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,,,,Yes,No,No,No opinion
MOPS,78,False,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,6-10,Work,Yes,Work,,,Yes,Yes,,Yes,,,
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Real Estate (Agents, etc.)",,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,Yes,No,No,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,2-3,Work,No,I do not send DocuSign envelopes,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Government,,No,Yes,Yes,,,,,,,No,Yes,,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,"Real Estate (Agents, etc.)",,"Yes, I work independently",No,,1,Work,No,Work,,,,,,No,Not Sure,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Accounting and Tax,,No,No,,2-3,Work,No,I do not send DocuSign envelopes,,,Yes,No,No,No,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,No,,,,,,,No,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,2-3,Work,Yes,Work,,,Yes,Yes,,Yes,No,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,Yes,Yes,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,4-5,Work,Yes,Work,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,No,No,No,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,public email (eg. me@gmail.com),,Not Sure,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,No,Not Sure,No,No,No,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Not Sure,Yes,Mortgage,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,No,No,No,No,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,Technology,,No,No,,6-10,Work,Yes,Work,,,,,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Insurance (Insurance Agencies, Insurance Carriers, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",1,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,No,Yes,Other (please specify):,Engineering/Architecture,No,No,,,,,,,,Yes,Yes,,Yes,No,No,No opinion
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,No,Yes,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,Yes,No,No,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),,Not Sure,No,Government,,"Yes, I work independently",Yes,Yes,,,,,,,,,,No,No,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,"Real Estate (Agents, etc.)",,No,No,,1,Work,No,Work,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,"Real Estate (Agents, etc.)",,No,No,,4-5,Work,No,Work,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,multiple emails (how many different email addresses do you use?),2,No,No,Other (please specify):,workforce industry,"Yes, I own my own business",No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,Yes,No,Technology,,No,No,,2-3,Work,No,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",3 ,Not Sure,Yes,"Real Estate (Agents, etc.)",,"Yes, I own my own business",Yes,No,,,,,,,No,Not Sure,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,,,,,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com),multiple emails (how many different email addresses do you use?)",2,No,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I own my own business",No,,,,,,,,Yes,No,No,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,Accounting and Tax,,No,No,,,,,,,,,,,Yes,Yes,No,No opinion
MOPS,100,True,company email (eg. me@company.com),,Yes,Yes,Other (please specify):,pharmaceutical,No,No,,2-3,Work,No,Work,,,Yes,No,Not Sure,Yes,No,No,No opinion
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",4,Yes,Yes,Other (please specify):,HR/Staffing,No,No,,6-10,Work,No,Work,,,Yes,Yes,,Yes,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
MOPS,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
MOPS,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,No,No,Other (please specify):,Wholesale trade,No,No,,,,,,,,,,,No,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
